# problem size | cpu time (seconds) | memory (kbs)
16 0.00 892
32 0.00 900
64 0.00 904
128 0.00 968
256 0.00 948
512 0.00 944
1024 0.00 904
2048 0.00 916
4096 0.00 924
8192 0.00 948
16384 0.00 980
32768 0.01 1096
65536 0.02 1408
131072 0.03 1744
262144 0.07 2264
524288 0.14 3572
1048576 0.27 6200
2097152 0.53 10348
4194304 1.06 19648
8388608 2.12 36112
